built,formed,started,founded,created,devised,crafted,drafted,sparked,launched,designed,invented,launched,composed,initiated,developed,initiated,concieved,introduced,fromulated,engineered,created
led,drove,headed,managed,piloted,directed,pioneered,commanded,spearheaded,,,,,,,,,,,,,
advised,informed,coached,guided,educated,lectured,mentored,taught,trained,assisted,helped,aided,supported,empowred,collaborated,counseled,,,,,,
fortified,beefed up,augmented,braced,strengthened,reinforced,enriched,enhanced,optimized,streamlined,improved,bettered,fine tuned,solidified,upgraded,polished,,,,,,
got,obtained,acquired,attained,purchased,collected,retrieved,recovered,bought,comandeered,seized,gained,earned,captured,,,,,,,,
achieved,accomplished,stepped-up,,,,,,,,,,,,,,,,,,,
annihilated,destroyed,obliterated,crushed,demolished,eradicated,,,,,,,,,,,,,,,,
sped,accelerated,,,,,,,,,,,,,,,,,,,,
acted,performed,,,,,,,,,,,,,,,,,,,,
diagnosed,assessed,analyzed,appraised,discovered,found,alerted,warned,identified,investigated,recognized,inspected,researched,reviewed,revealed,,,,,,,
planned,coordinated,orchistrated,scheduled,,,,,,,,,,,,,,,,,,
fixed,repaired,revitalized,adjusted,changed,adapted,balanced,resolved,restored,renewed,rehabilitated,reveresed,revived,rectified,modified,addressed,corrected,,,,,
anticipated,predicted,forecasted,,,,,,,,,,,,,,,,,,,
presented,delivered,demonstrated,applied,illustrated,showed,implemented,instilled,deployed,,,,,,,,,,,,,
decreased,reduced,minimized,cut,severed,trimmed,condensed,summarized,consolidated,,,,,,,,,,,,,
avoided,averted,,,,,,,,,,,,,,,,,,,,
regulated,banned,marshalled,stopped,governed,ended,standardized,enforced,approved,,,,,,,,,,,,,
gathered,assembled,mobilized,compiled,,,,,,,,,,,,,,,,,,
asserted,stated,,,,,,,,,,,,,,,,,,,,
rescued,saved,salvaged,,,,,,,,,,,,,,,,,,,
distributed,allocated,,,,,,,,,,,,,,,,,,,,
indexed,sorted,arranged,budgeted,filtered,screened,tailored,vetted,channeled,organized,ordered,focused,,,,,,,,,,
impacted,affected,,,,,,,,,,,,,,,,,,,,
gave,dedicated,devoted,provided,proposed,produced,,,,,,,,,,,,,,,,
infused,inserted,,,,,,,,,,,,,,,,,,,,
survived,braved,endured,persevered,,,,,,,,,,,,,,,,,,
integrated,meshed,,,,,,,,,,,,,,,,,,,,
battled,fought,competed,struggled,,,,,,,,,,,,,,,,,,
multiplied,doubled,expanded,tripled,,,,,,,,,,,,,,,,,,
took advantage of,capatilized on,,,,,,,,,,,,,,,,,,,,
studied,examined,,,,,,,,,,,,,,,,,,,,
guarded,protected,sheilded,,,,,,,,,,,,,,,,,,,
beat,topped,won,vanquished,defeated,conquered,exceeded,,,,,,,,,,,,,,,
combined,unified,,,,,,,,,,,,,,,,,,,,
